planning_area,rank,Active_Living_Score,park_area_sqm,pcn_length_km,count_major_infra,count_school_facilities,count_community_gyms,count_private_fitness,count_healthier_eateries,count_chas_clinics,count_eldercare_facilities,total_population,pop_aged_65_over,pop_aged_65_over_pct,pop_density,land_area_sqkm,norm_pcn_length_km,norm_park_area_sqm,norm_count_major_infra,norm_count_community_gyms,norm_count_private_fitness,norm_count_school_facilities,norm_count_healthier_eateries,norm_count_chas_clinics,norm_count_eldercare_facilities,cat_active_commute,cat_structured_fitness,cat_healthy_nutrition,cat_preventative_care,park_area_per_capita,pcn_length_per_10k_pop,sports_facilities_per_10k_pop,all_gyms_per_10k_pop,healthier_eateries_per_10k_pop,chas_clinics_per_10k_pop,eldercare_per_1k_seniors,cluster_id,pca_x,pca_y,archetype
SERANGOON,25,19.56402144417968,230708.53084883603,2.5108050554379804,3.0,5.0,2.0,1.0,41.0,27.0,0.0,116830,27950,23.923649747496363,11566.712513223858,10.100536333589336,0.0972029446349183,0.0667299150757005,0.75,0.0909090909090909,0.0344827586206896,0.2941176470588235,0.239766081871345,0.3333333333333333,0.0,0.0819664298553094,0.292377374147151,0.239766081871345,0.1666666666666666,1.9747370611044768,0.21491098651356505,0.6847556278353162,0.25678336043824357,3.509372592655996,2.3110502439441922,0.0,0,-1.2296116865931326,0.1431715308290152,Mature Active Heartland
CHANGI,26,18.40965369005225,333261.67121003,14.85877582045467,0.0,0.0,0.0,2.0,47.0,9.0,0.0,1930,280,14.507772020725389,46.53843326396316,41.4710995759818,0.5752405031566156,0.0963922874286879,0.0,0.0,0.0689655172413793,0.0,0.2748538011695906,0.1111111111111111,0.0,0.3358163952926518,0.0172413793103448,0.2748538011695906,0.0555555555555555,172.6744410414663,76.98847575365113,0.0,10.362694300518134,243.52331606217615,46.6321243523316,0.0,1,3.3275434767462406,-1.4687074559834175,Green Haven
NOVENA,27,17.8651164098979,39837.08919013359,3.7572050675322775,0.0,0.0,5.0,16.0,51.0,34.0,1.0,53360,10090,18.90929535232384,5950.036363021988,8.968012419490286,0.1454558948614462,0.0115224416225098,0.0,0.2272727272727272,0.5517241379310345,0.0,0.2982456140350877,0.419753086419753,0.0476190476190476,0.078489168241978,0.1947492163009404,0.2982456140350877,0.2336860670194003,0.7465721362468815,0.7041238882181929,0.0,3.9355322338830585,9.557721139430285,6.371814092953523,0.09910802775024777,3,0.0425276469078935,-0.3356534368714821,Quiet Living Enclave
ORCHARD,28,17.634522594149992,5188.72029136901,0.0,0.0,0.0,16.0,7.0,67.0,21.0,0.0,1380,230,16.666666666666664,1441.2149893425617,0.957525428339816,0.0,0.0015007805004899,0.0,0.7272727272727273,0.2413793103448276,0.0,0.391812865497076,0.2592592592592592,0.0,0.0007503902502449,0.2421630094043887,0.391812865497076,0.1296296296296296,3.759942240122471,0.0,0.0,166.66666666666666,485.5072463768116,152.17391304347828,0.0,2,6.781380897977067,4.8141611770814965,Urban Wellness Hub
OUTRAM,29,17.535090971808355,105028.45189951026,0.0,1.0,0.0,19.0,6.0,30.0,16.0,4.0,16990,4900,28.84049440847557,12372.683907312012,1.3731862971104634,0.0,0.0303783290977598,0.25,0.8636363636363636,0.2068965517241379,0.0,0.175438596491228,0.1975308641975308,0.1904761904761904,0.0151891645488799,0.3301332288401254,0.175438596491228,0.1940035273368606,6.181780570895247,0.0,0.5885815185403178,14.714537963507945,17.657445556209534,9.417304296645085,0.8163265306122449,0,-1.8763294709595162,2.0543725129449597,Mature Active Heartland
BUKIT TIMAH,30,17.332047573975824,283394.23252517666,6.974958185851843,0.0,0.0,9.0,10.0,26.0,21.0,1.0,86120,15730,18.26521133302369,4916.943193234391,17.514947115618355,0.2700275247980016,0.0819686770999338,0.0,0.4090909090909091,0.3448275862068966,0.0,0.1520467836257309,0.2592592592592592,0.0476190476190476,0.1759981009489677,0.1884796238244514,0.1520467836257309,0.1534391534391534,3.2906901129258785,0.8099115403915285,0.0,2.206223873664654,3.0190431955411055,2.4384579656293544,0.06357279084551812,3,0.05838362067318874,-0.5510224989654902,Quiet Living Enclave
ROCHOR,31,12.095831729897306,648.5380710682168,1.0893230639716474,0.0,0.0,8.0,10.0,29.0,17.0,3.0,12370,3060,24.73726758286176,7787.4129647864975,1.5884607707251777,0.0421718959213681,0.0001875825321522,0.0,0.3636363636363636,0.3448275862068966,0.0,0.1695906432748538,0.2098765432098765,0.1428571428571428,0.0211797392267602,0.177115987460815,0.1695906432748538,0.1763668430335097,0.0524283000055147,0.8806168665898523,0.0,14.551333872271623,23.443815683104287,13.7429264349232,0.9803921568627451,0,-0.9274416071495529,1.7669796262312842,Mature Active Heartland
TANGLIN,32,11.158270885506896,837382.3180904923,0.1577151916530102,1.0,0.0,7.0,2.0,9.0,3.0,0.0,24770,4040,16.310052482842146,3279.795755949032,7.5522995464187455,0.0061057631731026,0.2422036617652611,0.25,0.3181818181818182,0.0689655172413793,0.0,0.0526315789473684,0.037037037037037,0.0,0.1241547124691818,0.1592868338557993,0.0526315789473684,0.0185185185185185,33.80631078282165,0.06367185775252733,0.40371417036737994,3.633427533306419,3.633427533306419,1.2111425111021397,0.0,3,-0.046958198211007336,-0.6775487948058231,Quiet Living Enclave
SINGAPORE RIVER,33,9.707805373033407,13330.036033397517,2.152978600300324,0.0,0.0,8.0,8.0,20.0,4.0,0.0,4450,380,8.539325842696629,4647.125919626863,0.957581110769064,0.0833501028811058,0.0038555668886273,0.0,0.3636363636363636,0.2758620689655172,0.0,0.1169590643274853,0.0493827160493827,0.0,0.0436028348848666,0.1598746081504702,0.1169590643274853,0.0246913580246913,2.9955137153702287,4.8381541579782565,0.0,35.95505617977528,44.943820224719104,8.98876404494382,0.0,3,1.345919547068231,-0.4638694924419809,Quiet Living Enclave
MUSEUM,34,5.956108508419849,262972.761234352,0.0,0.0,0.0,2.0,2.0,26.0,3.0,0.0,840,60,7.142857142857142,1012.6104907736308,0.8295391047728956,0.0,0.0760619902516245,0.0,0.0909090909090909,0.0689655172413793,0.0,0.1520467836257309,0.037037037037037,0.0,0.0380309951258122,0.0399686520376175,0.1520467836257309,0.0185185185185185,313.06281099327623,0.0,0.0,47.61904761904762,309.5238095238095,35.714285714285715,0.0,1,4.164213805058005,-0.6886273696635969,Green Haven
MANDAI,35,4.605706335036506,322811.86612552364,3.768383857979048,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2120,370,17.452830188679243,180.16015013158264,11.767308133633472,0.145888668941827,0.0933697957883436,0.0,0.0,0.0344827586206896,0.0,0.0058479532163742,0.0,0.0,0.1196292323650853,0.0086206896551724,0.0058479532163742,0.0,152.2697481724168,17.775395556504943,0.0,4.716981132075472,4.716981132075472,0.0,0.0,3,0.9618422004897101,-1.7129603606505845,Quiet Living Enclave
SELETAR,36,3.544240947833657,32313.053589772186,4.807766632098804,0.0,0.0,0.0,0.0,0.0,2.0,0.0,260,10,3.8461538461538463,23.965619911230856,10.848874386018192,0.1861271836876988,0.0093461967528841,0.0,0.0,0.0,0.0,0.0,0.0246913580246913,0.0,0.0977366902202914,0.0,0.0,0.0123456790123456,124.28097534527764,184.9141012345694,0.0,0.0,0.0,76.92307692307693,0.0,1,3.7041423703912093,-3.9143748017834263,Green Haven
WESTERN WATER CATCHMENT,37,2.555174654388205,0.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0,580,20,3.4482758620689653,8.31561060345668,69.74833570957523,0.0,0.0,0.0,0.0,0.1379310344827586,0.0,0.0643274853801169,0.0123456790123456,0.0,0.0,0.0344827586206896,0.0643274853801169,0.0061728395061728,0.0,0.0,0.0,68.9655172413793,189.6551724137931,17.241379310344826,0.0,3,2.927999795430223,0.32822587891680377,Quiet Living Enclave
SOUTHERN ISLANDS,38,1.8839203692500728,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,2720,300,11.029411764705882,381.690837839933,7.126186249041344,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0760233918128654,0.0123456790123456,0.0,0.0,0.0086206896551724,0.0760233918128654,0.0061728395061728,0.0,0.0,0.0,3.676470588235294,47.794117647058826,3.676470588235294,0.0,3,0.892417119877914,-0.9075879620906288,Quiet Living Enclave
SUNGEI KADUT,39,1.5448011453121036,211379.47530414088,0.1830101446371508,0.0,0.0,0.0,0.0,3.0,0.0,0.0,650,170,26.15384615384616,36.954757224224686,17.589075096775638,0.0070850283331496,0.0611391975142588,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0,0.0341121129237042,0.0,0.0175438596491228,0.0,325.1991927756014,2.8155406867253965,0.0,0.0,46.15384615384616,0.0,0.0,1,1.098176631357757,-1.8264737315287936,Green Haven
NEWTON,40,0.94332767504804,24991.110942765,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,10010,1530,15.284715284715285,4838.737300651593,2.06872152341315,0.0,0.0072284050560349,0.0,0.0454545454545454,0.0,0.0,0.0116959064327485,0.037037037037037,0.0,0.0036142025280174,0.0113636363636363,0.0116959064327485,0.0185185185185185,2.4966144797967034,0.0,0.0,0.999000999000999,1.998001998001998,2.997002997002997,0.0,3,0.2507996381823678,-0.8069173358155117,Quiet Living Enclave
RIVER VALLEY,41,0.858960977159016,7759.628884109784,0.0554226939663923,0.0,0.0,0.0,2.0,1.0,1.0,0.0,12710,1750,13.768686073957516,8612.87288807661,1.4756980818322911,0.0021456261773351,0.0022443876459638,0.0,0.0,0.0689655172413793,0.0,0.0058479532163742,0.0123456790123456,0.0,0.0021950069116495,0.0172413793103448,0.0058479532163742,0.0061728395061728,0.6105136808898335,0.043605581405501415,0.0,1.5735641227380015,0.7867820613690008,0.7867820613690008,0.0,3,0.10948244225110647,-0.8047436978725785,Quiet Living Enclave
TENGAH,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23020,1660,7.211120764552563,3126.245846770113,7.363464400531122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6434907996448042,-1.2784531507565833,Quiet Living Enclave
